2024-05-14 00:12:16,765 [http-nio-8080-exec-2] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findAllCinemaName' executed with arguments: 
2024-05-14 00:39:06,826 [http-nio-8080-exec-7] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findAllCinemaName' executed with arguments: 
2024-05-14 00:39:07,932 [http-nio-8080-exec-8] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findMovieByScreening' executed with arguments: 1
2024-05-14 00:39:08,672 [http-nio-8080-exec-9] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findScreeningByDate' executed with arguments: 1, 1
2024-05-14 00:39:09,450 [http-nio-8080-exec-10] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findScreeningByTime' executed with arguments: 1, 2024-03-03, 1
2024-05-14 00:39:17,284 [http-nio-8080-exec-1] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findScreeningByTime' executed with arguments: 1, 2024-05-05, 1
2024-05-14 00:39:21,819 [http-nio-8080-exec-2] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'ticketList' executed with arguments: 22
2024-05-14 00:41:22,282 [http-nio-8080-exec-4] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findAllCinemaName' executed with arguments: 
2024-05-14 00:41:23,650 [http-nio-8080-exec-5] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findMovieByScreening' executed with arguments: 1
2024-05-14 00:41:24,286 [http-nio-8080-exec-6] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findScreeningByDate' executed with arguments: 1, 1
2024-05-14 00:41:25,773 [http-nio-8080-exec-7] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findScreeningByTime' executed with arguments: 1, 2024-05-05, 1
2024-05-14 00:41:26,767 [http-nio-8080-exec-8] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'ticketList' executed with arguments: 22
2024-05-14 00:42:16,182 [http-nio-8080-exec-10] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findAllCinemaName' executed with arguments: 
2024-05-14 00:42:18,223 [http-nio-8080-exec-2] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findMovieByScreening' executed with arguments: 1
2024-05-14 00:42:21,002 [http-nio-8080-exec-3] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findScreeningByDate' executed with arguments: 1, 1
2024-05-14 00:42:22,219 [http-nio-8080-exec-4] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findScreeningByTime' executed with arguments: 1, 2024-05-05, 1
2024-05-14 00:42:23,810 [http-nio-8080-exec-5] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'ticketList' executed with arguments: 22
2024-05-14 00:43:08,710 [http-nio-8080-exec-7] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findScreeningByTime' executed with arguments: 1, 2024-05-05, 1
2024-05-14 00:43:09,802 [http-nio-8080-exec-8] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'ticketList' executed with arguments: 22
2024-05-14 00:43:11,510 [http-nio-8080-exec-9] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findScreeningByTime' executed with arguments: 1, 2024-03-03, 1
2024-05-14 00:43:12,865 [http-nio-8080-exec-10] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'ticketList' executed with arguments: 3
2024-05-14 00:43:18,548 [http-nio-8080-exec-2] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findScreeningByTime' executed with arguments: 1, 2024-05-05, 1
2024-05-14 00:43:23,015 [http-nio-8080-exec-3] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'ticketList' executed with arguments: 22
2024-05-14 00:50:56,250 [http-nio-8080-exec-5] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findAllCinemaName' executed with arguments: 
2024-05-14 00:51:01,257 [http-nio-8080-exec-6] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findAllCinemaName' executed with arguments: 
2024-05-14 00:51:02,621 [http-nio-8080-exec-8] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findMovieByScreening' executed with arguments: 1
2024-05-14 00:51:04,139 [http-nio-8080-exec-9] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findScreeningByDate' executed with arguments: 1, 1
2024-05-14 00:51:06,334 [http-nio-8080-exec-10] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findScreeningByTime' executed with arguments: 1, 2024-05-05, 1
2024-05-14 00:51:09,152 [http-nio-8080-exec-1] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'ticketList' executed with arguments: 22
2024-05-14 00:52:06,500 [http-nio-8080-exec-3] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findAllCinemaName' executed with arguments: 
2024-05-14 00:52:08,154 [http-nio-8080-exec-4] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findMovieByScreening' executed with arguments: 1
2024-05-14 00:52:09,550 [http-nio-8080-exec-5] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findScreeningByDate' executed with arguments: 1, 1
2024-05-14 00:52:10,554 [http-nio-8080-exec-6] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findScreeningByTime' executed with arguments: 1, 2024-05-05, 1
2024-05-14 00:52:11,575 [http-nio-8080-exec-7] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'ticketList' executed with arguments: 22
2024-05-14 00:53:20,848 [http-nio-8080-exec-9] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findMovieByScreening' executed with arguments: 1
2024-05-14 00:53:23,115 [http-nio-8080-exec-10] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findScreeningByDate' executed with arguments: 1, 1
2024-05-14 00:53:48,650 [http-nio-8080-exec-1] INFO  com.ispan.theater.aspects.LogAspect ? - Method 'findScreeningByDate' executed with arguments: 1, 1
